over_pen,half_dmg,no_pen,hit_torp,ricochet,citadel,damage,win
17,17,4,1,13,1,114977,1
14,13,1,6,4,1,76763,0
19,28,2,6,12,2,108624,1
13,39,2,6,13,0,147595,1
17,19,1,3,10,4,141698,1
7,15,2,0,9,0,67187,0
5,8,0,5,9,0,36870,1
21,24,3,6,21,4,156658,1
9,23,4,0,21,0,92636,0
9,12,0,0,14,0,56891,1
10,16,3,3,4,4,105554,1
11,15,2,3,6,2,74572,0
7,23,5,0,3,0,89300,0
1,11,0,0,4,4,75310,1
12,15,2,3,7,3,99478,0
8,3,1,0,5,0,22620,0
16,18,2,1,6,6,155335,1
7,17,1,5,6,0,63366,0
37,9,2,0,7,0,93495,1
1,26,11,0,11,0,68329,0
9,24,4,3,7,1,119519,0
9,19,1,0,5,3,110193,1
12,18,3,3,3,1,94272,0
18,17,1,5,9,2,111102,0
2,10,1,0,5,1,43900,0
15,33,6,0,14,1,141643,1
20,25,7,2,14,2,147439,1
7,19,3,5,6,0,79163,1
12,23,0,1,6,0,102429,0
19,26,2,4,6,1,114200,0
11,8,1,0,5,0,48205,0
9,15,5,0,12,0,64694,1
4,20,1,2,3,0,52839,0
19,19,2,3,11,0,99216,0
13,23,1,1,5,0,82741,0
3,20,8,1,12,0,57045,0
6,14,2,0,4,0,62041,0
9,20,3,0,11,0,67636,1
6,36,7,0,6,2,111693,0
4,21,5,0,2,0,70300,0
11,20,6,1,7,0,68554,0
10,16,1,4,4,4,119578,1
14,33,6,1,10,3,175824,0
7,21,4,1,11,0,92042,0
6,15,0,3,11,4,109864,1
7,22,1,0,5,1,70758,0
10,17,1,1,8,0,67176,0
6,10,0,1,7,0,44507,0
9,7,0,0,4,0,32723,0
10,16,1,3,21,0,71084,1
7,27,5,4,8,3,108253,0
0,18,3,0,0,0,47881,0
8,52,3,3,18,0,131556,1
6,17,1,5,8,1,72992,1
9,15,1,3,7,1,89085,0
11,12,1,0,5,0,64794,0
12,30,1,3,6,0,120927,0
16,21,0,3,6,2,113406,1
14,16,0,1,7,1,80172,1
4,13,4,1,9,1,63305,1
22,26,5,3,14,1,137110,1
2,25,2,0,1,0,72192,1
6,21,4,0,12,1,78616,0
9,29,2,1,10,2,127754,1
26,35,3,3,13,3,155844,0
17,19,2,1,6,2,104706,1
5,7,2,1,1,0,35870,1
11,18,3,1,3,2,100856,1
14,22,6,0,7,0,89022,0
8,10,2,0,11,1,57702,1
17,15,2,1,4,2,94544,1
14,17,2,3,12,3,90429,1
18,16,3,0,5,2,114602,0
23,36,1,2,15,4,197634,1
9,13,6,0,7,1,72225,0
10,20,5,2,9,0,81770,0
14,30,6,1,10,0,133345,1
8,25,2,0,10,1,87418,1
12,16,2,1,3,2,93970,1
12,16,2,0,10,3,106357,0
14,38,11,4,13,0,114378,1
8,21,7,0,9,0,68730,1
3,5,1,0,5,0,14778,0
17,21,0,0,5,2,107179,1
9,7,1,3,5,1,55085,0
20,38,4,2,16,2,168532,0
13,17,3,0,12,2,97095,0
14,22,1,2,8,4,125752,1
6,12,0,1,6,1,65351,0
19,30,1,2,10,2,142702,1
29,33,1,3,10,1,160134,0
15,13,3,3,8,0,68122,1
9,21,4,2,11,1,88339,1
6,27,9,0,6,1,91713,1
25,21,2,4,12,5,159002,0
10,22,2,0,5,0,97248,0
25,16,0,1,7,0,85116,1
3,11,3,1,4,0,29925,1
20,23,7,2,13,0,104432,1
11,20,2,1,11,2,106534,1
13,8,2,1,17,1,66841,1
7,27,0,6,6,1,131924,1
11,14,2,0,4,2,84668,0
7,19,2,1,3,2,93594,0
15,25,1,3,6,1,107930,1
14,15,5,1,4,0,69210,0
13,21,4,1,7,0,100659,0
4,26,2,1,6,0,77437,0
16,22,4,2,9,1,113237,0
17,8,1,3,2,0,62120,1
13,27,5,1,11,0,101946,0
5,23,4,1,8,5,119704,0
34,29,3,2,17,3,170287,1
6,2,0,0,6,0,17221,0
10,25,6,0,19,1,105052,0
4,10,3,0,15,0,28017,0
5,12,5,0,5,0,48064,0
10,19,5,1,2,0,74062,0
19,45,6,0,24,2,165443,1
11,8,1,2,6,2,72375,0
8,28,8,2,9,1,144064,1
18,23,8,8,13,0,107217,0
6,21,2,1,4,2,115502,0
19,40,9,1,10,2,153222,0
26,19,5,3,12,2,121895,1
18,26,4,1,7,1,123023,1
11,32,4,2,13,1,143717,0
5,26,6,3,5,1,96236,1
9,23,3,1,9,1,88354,0
24,32,4,4,9,5,191135,1
13,17,4,0,4,1,89456,1
5,3,0,0,2,0,18270,0
12,21,3,2,11,0,90658,0
13,12,0,2,10,0,54752,0
15,38,1,0,17,2,177956,0
11,13,1,2,3,1,78943,0
13,13,0,2,10,0,60267,1
7,29,3,0,2,3,140612,1
15,16,1,2,7,0,72074,1
13,15,8,1,7,2,107960,1
10,27,4,0,6,2,115925,1
17,19,2,0,7,0,80567,0
18,21,7,4,16,0,88844,0
1,40,6,3,1,0,132983,1
13,30,4,0,4,1,114293,0
5,21,7,1,6,0,71619,0
7,26,6,1,4,0,65555,0
11,16,10,2,9,2,97326,1
2,29,9,2,3,1,115408,1
3,39,9,1,10,0,139282,1
8,29,4,4,13,3,119873,0
7,22,3,1,13,1,103449,0
4,34,7,0,3,0,94021,1